Country Name,Trade_Freedom,Corporate_Tax_Rate,Population_Millions,GDP_Billions_PPP
Laos,81.8,24,6.7,49.20
Latvia,86,20,2,53.90
Lebanon,79,15,4.5,87.70
Lesotho,81,25,1.9,7.00
Liberia,60.1,25,4.5,6.10
Lithuania,86,15,2.8,91.20
Luxembourg,86,18,0.6,62.70
Macau,90,39,0.6,71.80
Macedonia,82,10,2.1,31.00
Madagascar,69.2,20,25.6,39.70
Malawi,75.4,30,19.2,22.40
Malaysia,82,25,32.1,930.80
Mali,69.8,35,18.9,41.00
Malta,86,35,0.5,19.30
Mauritania,62.6,25,3.9,17.30
Mauritius,88.4,15,1.3,27.50
Mexico,81.4,30,123.5,2458.40
Micronesia,80.6,21,0.1,0.30
Moldova,78,12,3.5,20.10
Mongolia,75.8,25,3.1,39.70
Montenegro,84.7,9,0.6,11.00
Morocco,77.4,30,34.9,298.60
Mozambique,78,32,29.5,36.70
Namibia,83,34,2.3,26.50
Nepal,60.4,25,29.3,78.60
Netherlands,86,25,17.1,916.10
New Zealand,92.4,28,4.8,188.60
Nicaragua,76,30,6.2,36.40
Niger,65.8,30,18.8,21.80
Nigeria,62.4,30,188.7,1118.80
Norway,83.2,23,5.3,380.00
Oman,87,12,4.1,186.60
Pakistan,64.8,30,197.3,1057.00
Panama,79.2,25,4.1,103.90
Papua New Guinea,80.9,30,8.3,30.30
Paraguay,76.6,10,7,68.30
Peru,86.4,28,31.8,424.40
Philippines,78.2,30,105.3,875.60
Poland,86,19,38,1121.00
Portugal,86,23,10.3,313.40
Romania,86,16,19.6,481.50
Russia,77.8,20,144,4007.80
Rwanda,70.4,30,11.8,24.60
Saint Lucia,73.2,30,0.2,2.50
Saint Vincent and the Grenadines,66.6,33,0.1,1.30
Samoa,63.8,27,0.2,1.10
São Tomé and Príncipe,64.2,25,0.2,0.70
Saudi Arabia,76,2.5,32.4,1773.60
Senegal,72,30,15.9,43.20
Serbia,77,15,7,105.50
Seychelles,81.4,33,0.1,2.70
Sierra Leone,69.4,30,7.4,11.50
Singapore,94.8,17,5.6,527.00
Slovakia,86,21,5.4,179.40
Slovenia,86,17,2.1,71.10
Solomon Islands,56.8,30,0.6,1.30
South Africa,76,28,56.5,765.60
Spain,86,25,46.3,1773.90
Sri Lanka,76.2,28,21.4,274.70
Sudan,45,35,40.8,187.00
Suriname,64.6,36,0.6,8.50
Sweden,86,22,10.1,520.90
Switzerland,87.4,24,8.4,517.20
Taiwan ,87,20,23.6,1185.50
Tajikistan,73.6,15,8.8,28.40
Tanzania,67.8,30,50,162.20
Thailand,83,20,69.1,1233.70
Timor-Leste,75,10,1.2,6.80
Togo,69.4,27,7.8,12.90
Tonga,73.6,25,0.1,0.60
Trinidad and Tobago,68.4,25,1.4,43.00
Tunisia,71.4,30,11.5,135.40
Turkey,79.6,22,80.8,2173.20
Turkmenistan,76,8,5.7,103.50
Uganda,75.4,30,37.7,88.70
Ukraine,75,18,42.3,368.80
United Kingdom,86,20,66.1,2914.00
United States,86.6,21,325.9,19390.60
Uruguay,78.6,25,3.5,78.10
Uzbekistan,62.6,7.5,32.1,222.60
Venezuela,60,34,31.4,380.70
Vietnam,79.2,22,93.6,647.40
Zambia,72.6,35,17.2,68.90
Zimbabwe,70,25,14.9,34.00
